,number,theme,subtheme,year,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan,price_unadjusted,value_change_per
736,10129-1,Star Wars,Ultimate Collector Series,2003,Rebel Snowspeeder,,1457.0,191.45326086956518,692.46,453.07,2003-09-29,2005-07-31,set,False,130.0,261.68618745635507
737,3559-1,Sports,Hockey,2003,Red and Blue Player,,40.0,5.890869565217391,5.0,3.48,2003-09-15,2003-12-31,set,False,4.0,-15.122887297955558
738,7212-1,Creator,Designer Set,2003,Inflight Sales,,129.0,14.727173913043476,28.5,18.1,2003-01-27,2004-12-31,set,False,10.0,93.51981696066134
739,4096-1,Creator,Designer Set,2003,Micro Wheels,,215.0,14.727173913043476,22.49,11.33,2003-01-04,2005-12-31,set,False,10.0,52.71090117351835
741,4028-1,Creator,Bucket,2003,World of Bricks,,500.0,14.727173913043476,30.94,21.98,2003-01-04,2004-12-31,set,False,10.0,110.08782936010041
743,3545-1,Sports,Hockey,2003,Puck Feeder,,152.0,34.71620952024286,50.0,15.0,2003-01-04,2003-12-31,set,False,23.572893024299532,44.024940196438294
744,3544-1,Sports,Hockey,2003,Game Set,,154.0,22.090760869565212,34.0,12.2,2003-01-04,2004-12-31,set,False,15.0,53.91049769970727
745,3543-1,Sports,Hockey,2003,Slammer Goalie,,45.0,11.781739130434781,15.88,7.0,2003-01-04,2004-12-31,set,False,8.0,34.78485497084658
746,3542-1,Sports,Hockey,2003,Flip Shot,,46.0,11.781739130434781,20.3,7.99,2003-01-04,2004-12-31,set,False,8.0,72.30053878515022
747,3541-1,Sports,Hockey,2003,Slap Shot,,45.0,11.781739130434781,12.01,5.9,2003-01-04,2004-12-31,set,False,8.0,1.9374123551553728
748,3540-1,Sports,Hockey,2003,Puck Passer,,44.0,11.781739130434781,10.02,4.0,2003-01-04,2004-12-31,set,False,8.0,-14.953133072551474
749,8578-1,Bionicle,Bohrok-Kal,2003,Gahlok-Kal,,41.0,11.781739130434781,20.0,9.85,2003-01-03,2003-12-31,set,False,8.0,69.75422540408888
750,8577-1,Bionicle,Bohrok-Kal,2003,Pahrak-Kal,,41.0,11.781739130434781,36.1,10.51,2003-01-03,2003-12-31,set,False,8.0,206.40637685438045
751,8575-1,Bionicle,Bohrok-Kal,2003,Kohrak-Kal,,41.0,11.781739130434781,54.94,9.66,2003-01-03,2003-12-31,set,False,8.0,366.31485718503217
752,8574-1,Bionicle,Bohrok-Kal,2003,Tahnok-Kal,,41.0,11.781739130434781,54.9,10.99,2003-01-03,2003-12-31,set,False,8.0,365.975348734224
753,8573-1,Bionicle,Bohrok-Kal,2003,Nuhvok-Kal,,41.0,11.781739130434781,39.83,11.62,2003-01-03,2003-12-31,set,False,8.0,238.065539892243
754,5862-1,Belville,,2003,Flower Fairy Party,2.0,161.0,70.69043478260868,82.8,124.62,2003-01-03,2004-12-31,set,False,48.0,17.13041552882134
755,4097-1,Creator,Designer Set,2003,Mini Robots,,229.0,14.727173913043476,22.75,13.34,2003-01-04,2004-12-31,set,False,10.0,54.47634511772089
756,4098-1,Creator,Designer Set,2003,High Flyers,,197.0,14.727173913043476,28.6,6.83,2003-01-04,2004-12-31,set,False,10.0,94.1988338622777
757,4099-1,Creator,Designer Set,2003,Robobots,,325.0,29.454347826086952,40.0,25.0,2003-01-04,2004-12-31,set,False,20.0,35.80338032327111
758,4100-1,Creator,Designer Set,2003,Maximum Wheels,,299.0,29.454347826086952,33.45,15.23,2003-01-04,2004-12-31,set,False,20.0,13.565576795335476
759,4490-1,Star Wars,Mini Building Set,2003,Republic Gunship,,102.0,10.309021739130433,32.79,20.33,2003-01-06,2004-01-06,set,False,7.0,218.07091720000426
760,4488-1,Star Wars,Mini Building Set,2003,Millennium Falcon,,87.0,10.309021739130433,46.58,17.47,2003-01-06,2004-01-06,set,False,7.0,351.83724681842637
761,4483-1,Star Wars,Episode V,2003,AT-AT,4.0,1064.0,147.27173913043475,387.5,175.69,2003-01-06,2004-12-31,set,False,100.0,163.11904937633778
762,4481-1,Star Wars,Episode II,2003,Hailfire Droid,,681.0,73.63586956521738,120.0,106.9,2003-01-06,2003-12-31,set,False,50.0,62.96405638792533
763,4094-1,Creator,Inventor Set,2003,Motor Movers,,254.0,58.908695652173904,90.0,50.0,2003-01-06,2005-01-31,set,False,40.0,52.77880286368
764,8576-1,Bionicle,Bohrok-Kal,2003,Lehvak-Kal,,41.0,11.781739130434781,66.22,10.17,2003-01-03,2003-12-31,set,False,8.0,462.0562403129383
765,4489-1,Star Wars,Mini Building Set,2003,AT-AT,,98.0,10.309021739130433,26.33,22.11,2003-01-06,2004-01-06,set,False,7.0,155.4073574222663
766,4090-1,Creator,Inventor Set,2003,Motion Madness,,243.0,22.07603369565217,51.35,20.25,2003-01-06,2004-12-31,set,False,14.99,132.60518944629658
767,7332-1,Explore,Dora the Explorer,2004,Dora and Boots at Play Park,2.0,29.0,28.689046715779256,63.63,28.57,2004-01-03,2006-07-31,set,False,20.0,121.79196342903538
772,4346-1,Creator,3 in 1,2004,Robo Pod,,50.0,5.020583175261369,11.27,3.06,2004-01-04,2004-12-31,set,False,3.5,124.47591458164197
773,8602-1,Bionicle,Toa Metru,2004,Nokama,,46.0,11.475618686311702,47.69,9.27,2004-01-03,2004-12-31,set,False,8.0,315.57672229807855
774,8604-1,Bionicle,Toa Metru,2004,Onewa,,44.0,11.475618686311702,34.32,9.12,2004-01-03,2004-12-31,set,False,8.0,199.0688427190199
775,8605-1,Bionicle,Toa Metru,2004,Matau,,46.0,11.475618686311702,28.13,10.01,2004-01-03,2004-12-31,set,False,8.0,145.12839585332253
776,5877-1,Belville,,2004,The Royal Wedding Coach,2.0,73.0,67.65094075288152,60.0,40.63,2004-01-03,2004-05-31,set,False,47.16151179444582,-11.30943733780323
777,8606-1,Bionicle,Toa Metru,2004,Nuju,,48.0,11.475618686311702,20.99,11.25,2004-01-03,2004-12-31,set,False,8.0,82.90952822471525
778,8772-1,Castle,Knights' Kingdom II,2004,Rascus,,46.0,13.512141884286773,14.42,3.57,2004-01-01,2004-12-31,set,False,9.419721762211754,6.718832021509276
779,8603-1,Bionicle,Toa Metru,2004,Whenua,,49.0,11.475618686311702,50.0,11.14,2004-01-03,2004-12-31,set,False,8.0,335.706355942628
780,8619-1,Bionicle,Vahki,2004,Keerakh,,32.0,12.910071022100665,24.8,6.68,2004-07-20,2005-07-31,set,False,9.0,92.09809115337201
781,8774-1,Castle,Knights' Kingdom II,2004,Vladek,,48.0,13.512141884286773,15.5,4.65,2004-01-01,2004-12-31,set,False,9.419721762211754,14.711643296351857
782,8601-1,Bionicle,Toa Metru,2004,Vakama,,48.0,11.475618686311702,152.17,13.36,2004-01-03,2004-12-31,set,False,8.0,1226.0287236757943
783,10156-1,Town,Special,2004,LEGO Truck,1.0,105.0,21.51678503683444,47.9,36.36,2004-01-06,2005-07-31,set,False,15.0,122.61690079628673
784,4407-1,Creator,,2004,Transportation,,301.0,28.689046715779256,46.51,31.16,2004-01-01,2005-12-31,set,False,20.0,62.11762091913303
785,8621-1,Bionicle,Warriors,2004,Turaga Dume and Nivawk,,179.0,28.674702192421364,73.28,29.57,2004-01-07,2005-11-30,set,False,19.99,155.55627224392825
786,8618-1,Bionicle,Vahki,2004,Rorzakh,,32.0,12.910071022100665,32.19,5.74,2004-07-20,2005-07-31,set,False,9.0,149.3402239607679
787,8617-1,Bionicle,Vahki,2004,Zadakh,,32.0,12.910071022100665,31.0,7.19,2004-07-20,2005-07-31,set,False,9.0,140.122613941715
788,8616-1,Bionicle,Vahki,2004,Vorzakh,,32.0,12.910071022100665,21.31,6.13,2004-07-20,2005-07-31,set,False,9.0,65.06493235799827
789,8615-1,Bionicle,Vahki,2004,Bordakh,,32.0,12.910071022100665,52.04,6.17,2004-07-20,2005-07-31,set,False,9.0,303.09615579118866
790,8614-1,Bionicle,Vahki,2004,Nuurakh,,32.0,12.910071022100665,45.0,6.27,2004-07-20,2005-07-31,set,False,9.0,248.56508475410243
791,8811-1,Bionicle,Warriors,2004,Toa Lhikan and Kikanalo,,214.0,43.03357007366888,177.69,83.02,2004-10-19,2005-12-31,set,False,30.0,312.91019939970965
792,7214-1,World City,Special,2004,Airline Promotional Set,1.0,125.0,17.21342802946755,36.36,26.43,2004-01-02,2005-12-31,set,False,12.0,111.2304413609861
793,4347-1,Creator,3 in 1,2004,Auto Pod,,39.0,5.020583175261369,15.0,3.38,2004-01-04,2004-12-31,set,False,3.5,198.77007264637354
795,8771-1,Castle,Knights' Kingdom II,2004,Jayko,,45.0,13.512141884286773,14.42,4.04,2004-01-01,2004-12-31,set,False,9.419721762211754,6.718832021509276
796,5940-1,Belville,,2004,Doll House,3.0,203.0,86.06714014733777,142.61,117.99,2004-01-06,2005-12-31,set,False,60.0,65.69622245594184
797,10165-1,Seasonal,Christmas,2004,Elf Boy,,27.0,3.586130839472407,7.82,3.14,2004-10-15,2005-12-31,set,False,2.5,118.06231702216648
798,4748-1,Alpha Team,Mission Deep Freeze,2004,Ogel's Mountain Fortress,5.0,436.0,100.4116635052274,110.73,86.71,2004-01-06,2005-12-31,set,False,70.0,10.276033813776465
799,4746-1,Alpha Team,Mission Deep Freeze,2004,Mobile Command Center,5.0,426.0,71.72261678944814,78.91,37.32,2004-01-06,2005-07-31,set,False,50.0,10.021083351784883
800,4745-1,Alpha Team,Mission Deep Freeze,2004,Blue Eagle vs. Snow Crawler,2.0,258.0,43.03357007366888,54.77,27.24,2004-01-06,2005-12-31,set,False,30.0,27.272731279881274
801,4744-1,Alpha Team,Mission Deep Freeze,2004,Tundra Tracker,2.0,141.0,28.689046715779256,39.82,19.56,2004-01-06,2005-12-31,set,False,20.0,38.798616749083585
802,7070-1,4 Juniors,Pirates,2004,Catapult Raft,1.0,22.0,7.172261678944814,12.22,2.53,2004-01-06,2005-12-31,set,False,5.0,70.37861342780528
803,7530-1,Clikits,,2004,Starry Decoration Set,,70.0,18.647880365256515,9.39,,2004-01-06,2004-12-31,set,False,13.0,-49.64575160244581
804,7046-1,World City,Police and Rescue,2004,Fire Command Craft,3.0,269.0,43.03357007366888,52.21,33.2,2004-01-01,2005-12-31,set,False,30.0,21.323887166744584
805,7044-1,World City,Police and Rescue,2004,Rescue Chopper,2.0,205.0,28.689046715779256,63.91,17.76,2004-01-01,2005-12-31,set,False,20.0,122.76794566634685
806,7043-1,World City,Police and Rescue,2004,Firefighter,1.0,68.0,11.475618686311702,26.0,10.17,2004-01-01,2005-12-31,set,False,8.0,126.56730509016658
807,7042-1,World City,Police and Rescue,2004,Dune Patrol,1.0,36.0,5.737809343155851,7.5,3.47,2004-01-01,2005-07-31,set,False,4.0,30.711906782788414
808,4669-1,4 Juniors,City,2004,Turbo-Charged Police Boat,2.0,52.0,28.689046715779256,42.33,16.68,2004-01-01,2004-12-31,set,False,20.0,47.54760037641155
809,4668-1,4 Juniors,City,2004,Outrigger Construction Crane,2.0,61.0,18.647880365256515,39.9,5.51,2004-01-01,2004-12-31,set,False,13.0,113.96533664136442
810,4666-1,4 Juniors,City,2004,Speedy Police Car,1.0,24.0,7.172261678944814,2.94,2.27,2004-01-01,2004-12-31,set,False,5.0,-59.00874603291756
811,8770-1,Castle,Knights' Kingdom II,2004,Danju,,42.0,13.512141884286773,14.53,4.18,2004-01-01,2004-12-31,set,False,9.419721762211754,7.532914651354349
812,4501-1,Star Wars,Episode IV,2004,Mos Eisley Cantina,5.0,193.0,43.03357007366888,193.31,106.63,2004-01-01,2004-12-31,set,False,30.0,349.20744355877025
813,4495-1,Star Wars,Mini Building Set,2004,AT-TE,,63.0,10.041166350522738,29.33,15.23,2004-01-01,2004-12-31,set,False,7.0,192.09754102393788
814,4494-1,Star Wars,Mini Building Set,2004,Imperial Shuttle,,82.0,10.041166350522738,28.0,11.2,2004-01-01,2004-12-31,set,False,7.0,178.85206780328198
815,4493-1,Star Wars,Mini Building Set,2004,Sith Infiltrator,,55.0,10.02682182716485,16.62,13.09,2004-01-01,2004-12-31,set,False,6.99,65.75541369422554
816,4492-1,Star Wars,Mini Building Set,2004,Star Destroyer,,87.0,10.041166350522738,19.59,11.16,2004-01-01,2004-12-31,set,False,7.0,95.09685743808191
817,4410-1,Creator,,2004,Build and Create,,500.0,22.535275029052567,32.49,,2004-01-01,2005-12-31,set,False,15.710020100917433,44.1739670721292
818,4408-1,Creator,,2004,Animals,,202.0,14.344523357889628,35.62,12.15,2004-01-01,2005-12-31,set,False,10.0,148.31776637882254
819,4406-1,Creator,,2004,Buildings,,506.0,43.03357007366888,101.2,38.26,2004-01-01,2005-12-31,set,False,30.0,135.16524384743445
820,4500-1,Star Wars,Episode V,2004,Rebel Snowspeeder,3.0,214.0,28.689046715779256,62.21,32.73,2004-01-01,2005-12-31,set,False,20.0,116.84233922552713
821,4348-1,Creator,3 in 1,2004,Aero Pod,,36.0,5.020583175261369,21.99,3.56,2004-01-04,2004-12-31,set,False,3.5,337.9969264995836
822,8773-1,Castle,Knights' Kingdom II,2004,Santis,,46.0,13.512141884286773,14.42,3.98,2004-01-01,2004-12-31,set,False,9.419721762211754,6.718832021509276
823,8809-1,Castle,Knights' Kingdom II,2004,King Mathias,,44.0,14.344523357889628,14.89,5.5,2004-09-15,2005-04-30,set,False,10.0,3.802682239771705
824,8780-1,Castle,Knights' Kingdom II,2004,Citadel of Orlan,4.0,442.0,71.72261678944814,120.0,66.6,2004-01-07,2005-12-31,set,False,50.0,67.31124068196917
825,10132-1,Harry Potter,Prisoner of Azkaban,2004,Motorised Hogwarts Express,4.0,708.0,172.13428029467553,1066.33,523.78,2004-06-04,2005-12-31,set,False,120.0,519.4756780430699
826,8779-1,Castle,Knights' Kingdom II,2004,The Grand Tournament,3.0,312.0,43.03357007366888,45.0,22.67,2004-01-07,2005-12-31,set,False,30.0,4.569525426230727
827,8778-1,Castle,Knights' Kingdom II,2004,Border Ambush,2.0,177.0,28.689046715779256,39.82,17.24,2004-01-07,2005-12-31,set,False,20.0,38.798616749083585
828,8777-1,Castle,Knights' Kingdom II,2004,Vladek Encounter,2.0,42.0,12.910071022100665,53.61,16.95,2004-01-07,2005-12-31,set,False,9.0,315.2572043037207
829,4751-1,Harry Potter,Prisoner of Azkaban,2004,Harry and the Marauder's Map,3.0,109.0,14.344523357889628,59.29,38.58,2004-05-04,2004-12-31,set,False,10.0,313.3284775014146
830,8623-1,Bionicle,Warriors,2004,Krekka,,203.0,28.689046715779256,60.02,40.31,2004-01-07,2005-11-30,set,False,20.0,109.20876386941228
831,8622-1,Bionicle,Warriors,2004,Nidhiki,,170.0,28.689046715779256,79.84,32.64,2004-01-07,2005-11-30,set,False,20.0,178.29436366767538
832,8782-1,Castle,Knights' Kingdom II,2004,Danju,,46.0,11.475618686311702,30.0,8.68,2004-01-07,2005-10-31,set,False,8.0,161.42381356557684
833,8434-1,Technic,,2004,Aircraft,,445.0,50.2058317526137,199.24,60.0,2004-01-08,2005-07-31,set,False,35.0,296.84632849375635
834,8786-1,Castle,Knights' Kingdom II,2004,Vladek,,52.0,11.475618686311702,22.88,7.88,2004-01-07,2005-10-31,set,False,8.0,99.3792284793466
835,7575-1,Clikits,Seasonal,2004,Clikits Advent Calendar,,,21.51678503683444,18.75,,2004-01-10,2006-12-31,set,False,15.0,-12.858728811474396
836,10134-1,Star Wars,Ultimate Collector Series,2004,Y-wing Attack Starfighter,1.0,1473.0,172.13428029467553,763.09,328.32,2004-01-10,2006-07-31,set,False,120.0,343.31088420834675
837,8435-1,Technic,,2004,4WD,,763.0,64.55035511050332,182.26,72.88,2004-01-08,2005-12-31,set,False,45.0,182.3532104323676
838,4886-1,Creator,Designer Set,2004,Building Bonanza,,667.0,57.37809343155851,125.0,41.47,2004-01-10,2006-12-31,set,False,40.0,117.85317797131401
839,4777-1,Duplo,Castle,2004,Knights' Castle,4.0,164.0,71.72261678944814,190.15,72.04,2004-01-10,2006-12-31,set,False,50.0,165.11860346397032
840,4776-1,Duplo,Castle,2004,Dragon Tower,2.0,63.0,43.03357007366888,161.66,54.9,2004-01-10,2005-12-31,set,False,30.0,275.66021067565464
841,4759-1,Seasonal,Christmas,2004,3 Christmas Decorations,,127.0,10.041166350522738,33.12,,2004-01-10,2004-12-31,set,False,7.0,229.84216020159636
842,4335-1,Creator,3 in 1,2004,Black Robot Pod,,50.0,5.020583175261369,15.0,10.99,2004-01-10,2004-12-31,set,False,3.5,198.77007264637354
843,8790-1,Castle,Knights' Kingdom II,2004,King Mathias,,44.0,18.02370845666967,17.0,8.98,2004-01-09,2005-01-31,set,False,12.564870931564593,-5.679788147543227
844,8439-1,Technic,,2004,Front End Loader,,582.0,100.4116635052274,306.3,108.83,2004-01-09,2004-12-31,set,False,70.0,205.04424417194733
846,8436-1,Technic,,2004,Truck,,1027.0,129.10071022100664,125.84,95.25,2004-01-08,2006-09-30,set,False,90.0,-2.525710521208323
847,7262-1,Star Wars,Episode IV,2004,TIE Fighter and Y-Wing,3.0,412.0,71.72261678944814,249.0,114.5,2004-01-09,2005-01-31,set,False,50.0,247.17082441508606
848,8800-1,Castle,Knights' Kingdom II,2004,Vladek's Siege Engine,2.0,192.0,28.689046715779256,97.2,24.87,2004-01-08,2005-06-30,set,False,20.0,238.80526238098759
849,10131-1,Star Wars,Legends,2004,TIE Fighter Collection,4.0,682.0,100.4116635052274,379.14,154.27,2004-01-08,2006-07-31,set,False,70.0,277.58561781048684
850,8799-1,Castle,Knights' Kingdom II,2004,Knights' Castle Wall,3.0,178.0,28.689046715779256,76.77,28.33,2004-01-08,2005-06-30,set,False,20.0,167.59341556572443
851,10202-1,Bionicle,Warriors,2004,Ultimate Dume,,552.0,71.72261678944814,270.14,133.97,2004-01-08,2004-12-31,set,False,50.0,276.6454879818929
852,5941-1,Belville,,2004,Riding School,2.0,179.0,67.41925978208124,55.96,47.38,2004-01-06,2006-12-31,set,False,47.0,-16.99701215812947
853,8781-1,Castle,Knights' Kingdom II,2004,The Castle of Morcia,8.0,637.0,129.10071022100664,219.69,134.56,2004-01-07,2005-12-31,set,False,90.0,70.16947437695282
854,10151-1,Model Team,,2004,Hot Rod,,421.0,57.37809343155851,248.3,94.58,2004-10-05,2005-07-31,set,False,40.0,332.74355272221817
855,8783-1,Castle,Knights' Kingdom II,2004,Jayko,,49.0,11.475618686311702,34.0,8.01,2004-01-07,2005-10-31,set,False,8.0,196.2803220409871
856,8784-1,Castle,Knights' Kingdom II,2004,Rascus,,50.0,11.475618686311702,16.2,7.63,2004-01-07,2005-10-31,set,False,8.0,41.16885932541148
857,4758-1,Harry Potter,Prisoner of Azkaban,2004,Hogwarts Express,4.0,389.0,57.37809343155851,235.27,93.87,2004-05-04,2005-12-31,set,False,40.0,310.03453745048836
858,4757-1,Harry Potter,Prisoner of Azkaban,2004,Hogwarts Castle,9.0,944.0,129.10071022100664,445.0,204.26,2004-05-04,2005-12-31,set,False,90.0,244.69213936794577
859,4756-1,Harry Potter,Prisoner of Azkaban,2004,Shrieking Shack,4.0,444.0,71.72261678944814,277.5,197.84,2004-05-04,2005-07-31,set,False,50.0,286.90724407705375
860,4755-1,Harry Potter,Prisoner of Azkaban,2004,Knight Bus,2.0,243.0,43.03357007366888,82.8,46.5,2004-05-04,2005-12-31,set,False,30.0,92.40792678426452
861,4754-1,Harry Potter,Prisoner of Azkaban,2004,Hagrid's Hut,2.0,302.0,43.03357007366888,65.69,63.28,2004-05-04,2005-12-31,set,False,30.0,52.64826944997992
862,10159-1,Town,Flight,2004,City Airport,12.0,928.0,129.10071022100664,508.9,186.82,2004-10-15,2006-02-22,set,False,90.0,294.1883814030283
863,4753-1,Harry Potter,Prisoner of Azkaban,2004,Sirius Black's Escape,3.0,188.0,28.689046715779256,97.2,53.29,2004-05-04,2004-12-31,set,False,20.0,238.80526238098759
864,4752-1,Harry Potter,Prisoner of Azkaban,2004,Professor Lupin's Classroom,3.0,156.0,28.689046715779256,77.02,48.99,2004-05-04,2004-12-31,set,False,20.0,168.46482827760968
865,4750-1,Harry Potter,Prisoner of Azkaban,2004,Draco's Encounter with Buckbeak,1.0,36.0,11.475618686311702,48.73,30.15,2004-05-04,2005-01-31,set,False,8.0,324.63941450168534
866,8378-1,Racers,Drome Racers,2004,Red Beast RC,,65.0,57.37809343155851,100.0,40.53,2004-01-08,2006-07-31,set,False,40.0,74.28254237705121
867,8369-1,Racers,Outdoor RC,2004,Dirt Crusher RC,,88.0,200.8233270104548,399.82,110.0,2004-01-08,2006-07-31,set,False,140.0,99.09041740912174
868,3579-1,Sports,Hockey,2004,NHL Street Hockey,2.0,114.0,28.689046715779256,24.95,35.7,2004-01-08,2005-07-31,set,False,20.0,-13.033011353851448
869,3578-1,Sports,Hockey,2004,NHL Championship Challenge,8.0,374.0,57.37809343155851,200.0,126.52,2004-01-08,2005-12-31,set,False,40.0,248.5650847541024
870,10158-1,World City,Trains,2004,High Speed Train Car,2.0,161.0,35.86130839472407,151.5,109.99,2004-01-07,2006-07-31,set,False,25.0,322.46088272197215
871,10157-1,World City,Trains,2004,High Speed Train Locomotive,2.0,143.0,35.86130839472407,161.33,130.0,2004-01-07,2006-07-31,set,False,25.0,349.8720409870348
872,8785-1,Castle,Knights' Kingdom II,2004,Santis,,50.0,11.475618686311702,100.0,7.01,2004-01-07,2005-10-31,set,False,8.0,771.4127118852562
873,8433-1,Technic,,2004,Cool Movers,,215.0,18.647880365256515,41.31,18.79,2004-01-08,2005-12-31,set,False,13.0,121.52651771064572
874,5942-1,Belville,,2004,Pop Studio,1.0,102.0,32.97805919978825,28.47,27.35,2004-01-06,2005-12-31,set,False,22.99,-13.669874180519379
875,7074-1,4 Juniors,Pirates,2004,Skull Island,3.0,76.0,43.03357007366888,47.59,17.39,2004-01-06,2005-12-31,set,False,30.0,10.588082556318236
876,7071-1,4 Juniors,Pirates,2004,Treasure Island,2.0,24.0,11.475618686311702,34.99,9.05,2004-01-06,2005-07-31,set,False,8.0,204.90730788865113
877,5943-1,Belville,,2004,Interior Designer,1.0,96.0,14.344523357889628,46.76,22.56,2004-01-06,2005-01-02,set,False,10.0,225.97806726203657
878,4505-1,Creator,Designer Set,2004,Sea Machines,,168.0,10.041166350522738,16.0,10.95,2004-01-06,2005-12-31,set,False,7.0,59.34403874473255
879,4504-1,Star Wars,Episode V,2004,Millennium Falcon,5.0,985.0,143.44523357889628,580.59,158.5,2004-01-06,2005-12-31,set,False,100.0,304.7468051147687
881,4496-1,Creator,Bucket,2004,Fun with Building Tub,,1000.0,28.689046715779256,44.9,31.4,2004-01-06,2005-12-31,set,False,20.0,56.50572305459198
882,4860-1,4 Juniors,Spider-Man,2004,Doc Ock's Cafe Attack,3.0,130.0,43.03357007366888,107.0,33.53,2004-01-05,2004-12-31,set,False,30.0,148.64309379125973
883,4858-1,4 Juniors,Spider-Man,2004,Doc Ock's Crime Spree,3.0,55.0,21.51678503683444,50.0,34.67,2004-01-05,2004-12-31,set,False,15.0,132.37672316940163
884,4857-1,Spider-Man,Spider-Man 2,2004,Doc Ock's Fusion Lab,4.0,237.0,28.689046715779256,97.51,80.37,2004-01-05,2004-12-31,set,False,20.0,239.8858141437253
885,4507-1,Creator,Designer Set,2004,Prehistoric Creatures,,726.0,43.03357007366888,120.0,38.25,2004-01-06,2006-12-31,set,False,30.0,178.85206780328195
886,8389-1,Racers,Ferrari,2004,M. Schumacher and R. Barrichello,2.0,34.0,10.041166350522738,61.59,39.68,2004-01-04,2005-12-31,set,False,7.0,513.374959143005
887,8375-1,Racers,Ferrari,2004,Ferrari F1 Pit Set,7.0,242.0,43.03357007366888,100.98,45.05,2004-01-04,2005-12-31,set,False,30.0,134.65401505646176
888,8362-1,Racers,Ferrari,2004,Ferrari F1 Racer,1.0,113.0,21.51678503683444,77.44,10.42,2004-01-04,2006-07-31,set,False,15.0,259.90506884476923
889,4855-1,Spider-Man,Spider-Man 2,2004,Spider-Man's Train Rescue,4.0,299.0,43.03357007366888,196.93,135.91,2004-01-04,2004-12-31,set,False,30.0,357.6194809375026
890,4854-1,Spider-Man,Spider-Man 2,2004,Doc Ock's Bank Robbery,5.0,174.0,28.689046715779256,118.54,69.12,2004-01-04,2004-12-31,set,False,20.0,313.1890514675131
891,4853-1,Spider-Man,,2004,Spider-Man's Street Chase,3.0,73.0,14.344523357889628,92.92,42.58,2004-01-04,2004-12-31,set,False,10.0,547.7733535070239
892,8386-1,Racers,Ferrari,2004,Ferrari F1 Racer 1:10,,738.0,100.4116635052274,298.45,79.52,2004-01-04,2005-12-31,set,False,70.0,197.22642727103388
893,4349-1,Creator,3 in 1,2004,Wild Pod,,44.0,5.020583175261369,12.41,10.28,2004-01-04,2004-12-31,set,False,3.5,147.18244010276638
894,4508-1,Creator,Designer Set,2004,Titan XP,,782.0,71.72261678944814,140.77,65.47,2004-01-06,2005-07-31,set,False,50.0,96.27002792334001
895,4743-1,Alpha Team,Mission Deep Freeze,2004,Ice Blade,1.0,108.0,14.344523357889628,33.66,8.62,2004-01-06,2005-12-31,set,False,10.0,134.65401505646173
897,7528-1,Clikits,,2004,Designer Desk Set,,69.0,18.647880365256515,12.88,5.62,2004-01-06,2005-12-31,set,False,13.0,-30.930487821033235
898,7526-1,Clikits,,2004,My Starry Notes,,27.0,7.172261678944814,2.13,,2004-01-06,2005-12-31,set,False,5.0,-70.30225477895048
899,7525-1,Clikits,,2004,Sunshine Picture Stand,,22.0,7.172261678944814,4.37,4.02,2004-01-06,2005-12-31,set,False,5.0,-39.07082318498289
900,7075-1,4 Juniors,Pirates,2004,Captain Redbeard's Pirate Ship,4.0,131.0,57.37809343155851,200.0,59.09,2004-01-06,2005-12-31,set,False,40.0,248.5650847541024
901,7073-1,4 Juniors,Pirates,2004,Pirate Dock,2.0,61.0,28.689046715779256,30.0,23.7,2004-01-06,2004-12-31,set,False,20.0,4.569525426230727
902,7072-1,4 Juniors,Pirates,2004,Captain Kragg's Pirate Boat,1.0,36.0,18.647880365256515,45.0,10.29,2004-01-06,2005-12-31,set,False,13.0,141.31428944514784
903,4742-1,Alpha Team,Mission Deep Freeze,2004,Chill Speeder,1.0,58.0,5.737809343155851,24.05,10.0,2004-01-06,2005-12-31,set,False,4.0,319.14951441680824
904,4506-1,Creator,Designer Set,2004,Deep Sea Predators,,352.0,28.689046715779256,83.99,22.49,2004-01-06,2005-12-31,set,False,20.0,192.75981468497062
905,4856-1,Spider-Man,Spider-Man 2,2004,Doc Ock's Hideout,5.0,486.0,71.72261678944814,170.07,92.97,2004-01-04,2004-12-31,set,False,50.0,137.1218558565208
906,8421-1,Technic,,2005,Mobile Crane,,1884.0,208.16148856264934,496.24,174.52,2005-01-06,2007-12-31,set,False,150.0,138.3918386760811
907,7246-1,City,Construction,2005,Mini Digger,1.0,36.0,5.537095595766473,13.35,3.39,2005-01-01,2007-12-31,set,False,3.99,141.10112908664752
908,8416-1,Technic,,2005,Fork-Lift,,729.0,97.12815056333217,135.26,79.38,2005-01-06,2006-12-31,set,False,69.99,39.25931793770133
909,8794-1,Castle,Knights' Kingdom II,2005,Sir Santis,,44.0,12.489689313758962,22.77,7.79,2005-01-01,2006-07-31,set,False,9.0,82.31037960981129
910,7537-1,Clikits,,2005,Cool Carry-All Set,,74.0,20.816148856264935,27.02,,2005-01-01,2006-07-31,set,False,15.0,29.80306869715683
911,8419-1,Technic,,2005,Excavator,,286.0,27.754865141686583,47.68,20.54,2005-01-01,2007-12-31,set,False,20.0,71.78970157699214
912,8418-1,Technic,,2005,Mini Loader,,66.0,8.31258210993513,28.0,5.73,2005-01-01,2007-12-31,set,False,5.99,236.8387780077941
913,8652-1,Racers,Ferrari,2005,Enzo Ferrari 1:17,,477.0,55.509730283373166,218.55,45.77,2005-01-01,2006-12-31,set,False,40.0,293.71475754668245
